"","ideology","norm_news","norm_branches","norm_officials","norm_facts","egal_equalop","egal_worryless","egal_notbigprob","egal_fewerprobs","moraltrad_adjmoral","moraltrad_moretrad","auth_childind","auth_childcur","auth_childobed","auth_childconsid","education","sex","interest","econ_perc","age"
"1411",3,5,5,5,1,1,5,5,1,2,4,2,2,1,1,"Less than high school","Female","Not much interested","Somewhat better off","30-49"
"1412",3,5,5,4,4,2,4,4,2,3,2,1,2,2,1,"Less than high school","Male","Very much interested","Somewhat worse off","50-64"
"1413",2,5,5,5,5,1,5,5,1,1,1,2,2,1,2,"Less than high school","Male","Very much interested","About the same","65+"
"1414",4,4,5,5,5,1,1,1,5,4,2,2,2,1,2,"Less than high school","Male","Somewhat interested","About the same","50-64"
"1415",6,5,5,5,5,4,4,5,5,5,3,1,2,2,1,"Less than high school","Female","Very much interested","About the same","50-64"
"1416",NA,4,4,5,3,2,2,3,4,3,2,2,2,2,1,"Less than high school","Female","Somewhat interested","Somewhat worse off","65+"
"1417",NA,2,5,5,3,2,2,4,2,3,2,2,2,2,1,"Less than high school","Female","Somewhat interested","Somewhat better off","50-64"
"1418",7,4,4,4,4,5,3,3,5,5,2,2,2,1,2,"Less than high school","Female","Very much interested","Somewhat better off","50-64"
"1419",4,3,2,2,3,3,3,3,3,3,3,2,2,2,1,"Less than high school","Male","Somewhat interested","About the same","30-49"
"1420",4,1,2,1,1,5,2,4,1,4,2,2,2,1,2,"Less than high school","Female","Very much interested","Much better off","30-49"
"1421",4,4,5,5,5,1,3,5,2,4,1,2,1,1,1,"Less than high school","Female","Not much interested","Somewhat worse off","30-49"
"1422",4,5,5,5,4,1,5,5,1,3,1,1,2,1,2,"Less than high school","Male","Very much interested","About the same","50-64"
"1423",5,1,3,5,4,1,3,3,2,2,3,2,2,2,1,"Less than high school","Male","Very much interested","About the same","50-64"
"1424",2,3,4,4,4,1,5,5,1,1,1,2,2,2,1,"Less than high school","Male","Very much interested","Somewhat better off","30-49"
"1425",NA,1,3,4,2,2,5,4,1,2,3,1,2,1,2,"Less than high school","Male","Somewhat interested","About the same","18-29"
"1426",2,3,5,5,4,1,5,5,1,1,5,2,2,1,1,"Less than high school","Female","Somewhat interested","Somewhat worse off","30-49"
"1427",4,1,3,4,4,2,2,3,4,5,1,2,2,1,1,"Less than high school","Female","Somewhat interested","Somewhat better off","50-64"
"1428",5,5,5,5,4,2,4,4,2,2,3,1,2,2,1,"Less than high school","Female","Somewhat interested","About the same","30-49"
"1429",2,5,5,5,4,1,4,5,4,3,3,2,1,2,1,"Less than high school","Female","Very much interested","About the same","50-64"
"1430",2,5,5,5,4,1,5,5,1,4,1,2,1,1,2,"Less than high school","Male","Very much interested","Somewhat better off","50-64"
"1431",2,5,5,4,5,2,5,4,2,2,5,2,1,2,1,"Less than high school","Female","Somewhat interested","About the same","30-49"
"1432",4,4,5,5,5,2,4,5,1,1,1,2,2,1,1,"Less than high school","Female","Not much interested","About the same","65+"
"1433",NA,3,4,5,5,1,3,3,2,2,1,2,1,2,1,"Less than high school","Female","Somewhat interested","About the same","65+"
"1434",NA,5,4,4,4,2,3,3,3,4,4,2,2,1,1,"Less than high school","Male","Somewhat interested","About the same","65+"
"1435",4,5,5,5,5,1,3,5,1,2,2,2,2,1,1,NA,NA,"Not much interested",NA,NA
"1436",6,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less than high school","Female","Somewhat interested","Somewhat better off","50-64"
"1437",3,5,5,5,4,2,4,5,2,2,4,2,1,2,2,"Less than high school","Female","Somewhat interested","Somewhat better off","30-49"
"1438",5,3,5,4,4,1,5,4,2,4,1,2,1,2,1,"Less than high school","Male","Very much interested","Somewhat better off","50-64"
"1439",5,3,4,4,4,4,3,3,2,4,2,2,2,2,1,"Less than high school","Male","Very much interested","About the same","30-49"
"1440",3,4,4,4,4,1,3,3,2,2,3,2,1,2,1,"Less than high school","Male","Somewhat interested","About the same","65+"
"1441",4,5,5,2,4,2,4,4,1,1,4,2,2,2,2,"Less than high school","Female","Very much interested","Somewhat worse off","50-64"
"1442",4,5,5,5,5,2,5,2,1,2,1,2,2,1,2,"Less than high school","Female","Very much interested","Somewhat better off","50-64"
"1443",4,2,4,4,4,1,4,3,4,5,2,2,1,1,1,"Less than high school","Female","Not much interested","About the same","30-49"
"1444",4,4,5,4,4,3,3,3,2,2,2,2,2,1,1,"Less than high school","Female","Somewhat interested","About the same","50-64"
"1445",4,4,3,5,5,1,5,5,2,2,5,2,2,1,2,"Less than high school","Female","Very much interested","Much worse off","50-64"
"1446",5,3,4,4,3,2,2,4,2,3,1,2,2,1,1,"Less than high school","Female","Somewhat interested","About the same","50-64"
"1447",4,3,5,5,3,2,3,4,4,3,2,2,2,2,1,"Less than high school","Female","Somewhat interested","About the same","65+"
"1448",NA,1,5,5,5,5,1,1,5,5,3,2,2,1,2,"Less than high school","Male","Not much interested","Much better off","30-49"
"1449",5,NA,4,5,3,2,1,2,2,2,2,2,2,2,1,"Less than high school","Female","Somewhat interested","About the same","50-64"
"1450",7,4,5,5,3,5,1,1,5,5,1,2,2,2,2,"Less than high school","Female","Very much interested","About the same","30-49"
"1451",NA,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less than high school","Male","Somewhat interested","Much worse off","50-64"
"1452",6,4,4,5,4,2,2,5,4,5,1,2,1,1,2,"Less than high school","Female","Very much interested","About the same","65+"
"1453",5,2,5,4,3,1,4,4,2,4,2,1,2,2,2,"Less than high school","Male","Somewhat interested","Somewhat worse off","50-64"
"1454",3,5,5,5,5,1,2,1,4,1,5,1,1,2,2,"Less than high school","Male","Not much interested","Much worse off","30-49"
"1455",6,5,5,5,5,5,1,3,3,5,1,2,2,2,1,"Less than high school","Female","Somewhat interested","About the same","50-64"
"1456",6,3,3,5,3,4,2,2,3,2,1,2,2,1,1,"Less than high school","Female","Somewhat interested","Much better off","65+"
"1457",NA,2,3,5,2,1,2,4,2,4,3,2,2,1,1,"Less than high school","Female","Somewhat interested","About the same","50-64"
